image,gt_species,pred_species,correct_species,status,flag
1689120590238_jpg.rf.8b16027a2f429b42a32fc4d2728df1b2.jpg,caranx_sexfasciatus,,,MISMATCH,False
1689254343092_jpg.rf.073389a363bea13f9d20992c03716813.jpg,gazza_minuta,,,MISMATCH,False
1689388044927_jpg.rf.865dfbfcf6491f32506638a0bc60d7ac.jpg,caranx_lugubris,pomadasys_argenteus,,MISMATCH,False
1689388326411_jpg.rf.a934e3368903e2b1b59a04f0c48aa8a5.jpg,caranx_lugubris,pomadasys_kaakan,,MISMATCH,False
1689557098876_jpg.rf.8c7b9f0026b7ec74139aca00d62974f2.jpg,arius_arius,chirocentrus_dorab,,MISMATCH,False
1689577829534_jpg.rf.12d018859010f283fd871a8c5e498b3f.jpg,scomberomorus_commerson,acanthocybium_solandri|chirocentrus_dorab,,MISMATCH,False
1689577974563_jpg.rf.2ffd1d2dfc8f0df690ec3f1976f98a73.jpg,scomberomorus_commerson,acanthocybium_solandri,,MISMATCH,False
1689578011527_jpg.rf.dbed31f6b688f1f4c74b3d97a6300e44.jpg,caranx_tille,acanthocybium_solandri|scomberomorus_commerson,,MISMATCH,False
1689578156358_jpg.rf.4977f4923c6e6c77f26a30d185060d03.jpg,caranx_tille,acanthocybium_solandri,,MISMATCH,False
1689594468820_jpg.rf.5752566247b79b534a0930f141cefee0.jpg,lutjanus_gibbus,,,MISMATCH,False
1689651076768_jpg.rf.262ae21e0e9a5ccd0f8fd036f6b8b32b.jpg,caranx_sexfasciatus,caranx_ignobilis,,MISMATCH,False
1689651811316_jpg.rf.e7f847175cd42ffe4c039092966adf89.jpg,scomberomorus_commerson,acanthocybium_solandri|caranx_ignobilis,,MISMATCH,False
1689652445419_jpg.rf.221c8d28890054a848b2c8417ff3e237.jpg,caranx_tille,chirocentrus_dorab|scomberoides_tol,,MISMATCH,False
1689652491689_jpg.rf.b9f0d6a405c46dfa44ace070de4a2d90.jpg,scomberomorus_commerson,,,MISMATCH,False
1689717471365_jpg.rf.e07b5a6e3444bb6cec5b255d9e74aafb.jpg,platax_boersii,pomadasys_argenteus,,MISMATCH,False
1689733035992_jpg.rf.08dc1d1d06c8b9b5b73e3eaf3f7bda94.jpg,acanthocybium_solandri,chirocentrus_dorab,,MISMATCH,False
1689739881340_jpg.rf.83fccafc456c8dd50e666b7ca88bfdc9.jpg,scomberomorus_commerson,chirocentrus_dorab,,MISMATCH,False
1689739901296_jpg.rf.bc8582cbfd589b77e7d526d9fc10e015.jpg,scomberomorus_commerson,acanthocybium_solandri|chirocentrus_dorab,,MISMATCH,False
1689740066618_jpg.rf.f2488ab4da800656bb81cf0455954946.jpg,scomberomorus_commerson,acanthocybium_solandri,,MISMATCH,False
1689740260887_jpg.rf.6365acac028efbf88484bb3dd6f42341.jpg,caranx_sexfasciatus,,,MISMATCH,False
1689743257346_jpg.rf.2057a8fa8777d53b67b3905bbc806b96.jpg,scomberomorus_commerson,,,MISMATCH,False
1690159389660_jpg.rf.389ea03cf8855ccb1177be7e92f63eee.jpg,caranx_tille,chirocentrus_dorab,,MISMATCH,False
1690159931251_jpg.rf.594ed89d6774345fbd09d7e0b90d6dbd.jpg,sardinella_albella,chirocentrus_dorab|scomberomorus_commerson,,MISMATCH,False
1690160029885_jpg.rf.9d828a8b09020267ddc0a42d33582cbb.jpg,chirocentrus_dorab,chirocentrus_dorab|scomberoides_tol,chirocentrus_dorab,MATCH,False
1690336988079_jpg.rf.2432d3980508904c641a7314d69ea16f.jpg,pomadasys_argenteus,,,MISMATCH,False
1690337039741_jpg.rf.22d7395baa5f6131871ccde0dbf6a680.jpg,caranx_sexfasciatus,,,MISMATCH,False
1690337115859_jpg.rf.a1bf50f115618e8c5e2f84c7f547fd71.jpg,pomacanthus_annularis,,,MISMATCH,False
1690349481994_jpg.rf.7cfd5ab8a02e0270040c51d3af1dbcf7.jpg,caranx_sexfasciatus,gazza_minuta,,MISMATCH,False
1690466885625_jpg.rf.eb70bbbeb53d4e16a68b21dd503f7f17.jpg,caranx_sexfasciatus,acanthocybium_solandri,,MISMATCH,False
1690544392983_jpg.rf.67cd8ea3bdb87122321af2d30087de61.jpg,caranx_melampygus|caranx_sexfasciatus,aurigequula_fasciata|scomberoides_tol,,MISMATCH,False
1690598682706_jpg.rf.9c5de51d20d9609338bc75c609b34570.jpg,lutjanus_bohar,lutjanus_johnii|pomadasys_kaakan,,MISMATCH,False
1690599089156_jpg.rf.13b76d4c72671c4e3ceb079bd647f88d.jpg,lutjanus_gibbus,,,MISMATCH,False
1690861067104_jpg.rf.2f52aec289b54474794a6e3a21fac588.jpg,sardinella_albella,chirocentrus_dorab,,MISMATCH,False
1690861524786_jpg.rf.fc6b94b5f3820bec1c69d28e1c9894a3.jpg,chirocentrus_nudus,chirocentrus_dorab,,MISMATCH,False
1690890877921_jpg.rf.1f7520bce805e15c441088843118ec5e.jpg,lutjanus_timoriensis,lutjanus_johnii,,MISMATCH,False
1691143949361_jpg.rf.38bbd065f80616ca097b65f385856858.jpg,caranx_lugubris,aurigequula_fasciata,,MISMATCH,False
1691197797009_jpg.rf.75e8f1655a8c16d359524c88a73f3044.jpg,caranx_sexfasciatus,gazza_minuta,,MISMATCH,False
1691201300294_jpg.rf.8b496e018d8f354069d9df84f5ae0472.jpg,lethrinus_erythracanthus,,,MISMATCH,False
1691201510682_jpg.rf.50f5e9e9bde8688b5c3dfd59be51a5d6.jpg,lutjanus_gibbus,etelis_carbunculus,,MISMATCH,False
1691201635655_jpg.rf.8184ae7fffd16540d452ec77bb73aa6e.jpg,lutjanus_gibbus,,,MISMATCH,False
1691201728522_jpg.rf.61f48f56a3ca8e7a05953321b16bbf52.jpg,lutjanus_gibbus,,,MISMATCH,False
1691234458029_jpg.rf.7fb9f02d2ae045e0d14fc8b8d79c094e.jpg,elagatis_bipinnulata,,,MISMATCH,False
